metric,27B_mean,4B_mean
completeness.completeness_score,0.9844,0.8673
completeness.guideline_coverage,0.98,0.78
completeness.guidelines_addressed,1.96,1.56
completeness.n_definitive_vars,8.0,6.8
completeness.n_guidelines,2.0,2.0
completeness.variable_coverage,0.9888,0.9546
completeness.vars_referenced,7.88,6.26
formatting.formatting_compliance_score,0.9867,0.7633
hallucination.hallucination_score,0.1812,0.1413
hallucination.n_contradiction_indicators,0.04,0.0
hallucination.n_drug_mentions,7.36,10.4
hallucination.n_hallucinated_drugs,4.18,2.44
hallucination.n_implausible_dosages,0.04,0.0
output_length.char_count,7644.66,4735.18
output_length.sentence_count,91.44,81.78
output_length.word_count,1055.34,704.96
patient_id,3779.24,3779.24
reasoning.guideline_references,13.42,0.92
reasoning.logical_connectors,4.32,0.54
reasoning.patient_specific_refs,4.82,25.14
reasoning.reasoning_quality_score,0.958,0.6735
reasoning.reasoning_sentences,56.9,34.38
reasoning.reasoning_steps,8.48,0.0
repetition.degradation_score,0.1731,0.2253
repetition.line_repetition_ratio,0.1052,0.1725
repetition.max_consecutive_duplicates,0.0,6.46
repetition.ngram_repetition_ratio,0.3275,0.3608
repetition.total_lines,97.1,48.16
repetition.total_ngrams,1493.3,953.28
repetition.unique_lines,70.5,20.72
repetition.unique_ngrams,908.88,234.48
var_extraction.known,8.0,6.8
var_extraction.no_count,5.24,3.92
var_extraction.numeric_count,0.24,0.3
var_extraction.total,14.8,14.8
var_extraction.unknown,6.8,8.0
var_extraction.unknown_rate,0.4521,0.5487
var_extraction.yes_count,2.44,2.44
